itemId,pop
244,1531
3229,26
2224,16
248,93
520,467
2765,28
1032,61
1300,293
3249,28
1756,89
2483,234
1942,175
2569,138
1943,35
3318,4
3644,1
1183,81
1043,32
2039,210
1342,98
605,781
606,447
167,1582
957,186
2571,22
310,44
1950,134
2374,28
2606,31
1951,45
1053,256
2376,105
619,690
1132,98
3044,17
2377,112
638,279
1463,80
3073,29
1849,15
491,494
2555,157
639,462
972,60
1965,20
803,354
3033,28
657,533
502,333
1857,91
3148,32
361,319
150,759
1368,364
674,170
2618,83
375,515
2844,42
1772,185
171,1535
382,890
1970,99
3316,15
1861,85
1384,183
2200,178
2576,45
390,779
1974,53
1817,167
514,865
83,572
2768,42
687,306
1783,143
1309,302
2264,183
1866,131
3045,12
1868,245
264,1144
1395,90
1715,309
148,997
1400,146
1984,205
397,201
2465,30
3272,7
3261,20
2433,76
2770,68
3367,12
2253,39
2581,27
2024,18
476,76
3354,12
3649,1
3328,9
3576,1
3460,2
3225,1
3690,2
1057,142
2485,6
2378,143
2554,55
2776,36
1856,336
3153,8
353,200
1357,168
2843,64
1966,127
1358,68
2222,146
2112,19
1858,113
1137,246
846,65
3074,39
1859,152
1369,53
1307,77
2556,189
1968,108
550,186
1203,134
2845,14
1273,263
1382,282
2846,29
72,458
683,375
1972,95
2114,48
2251,99
3679,1
814,661
815,440
107,447
3205,16
2889,52
1392,65
986,177
1784,25
1979,160
1671,49
1398,156
2120,78
3326,29
1869,48
465,577
1401,198
1985,59
151,1393
2432,63
154,101
2558,27
299,61
3170,18
1410,34
2175,140
473,72
1088,392
1413,40
1312,233
1791,51
3061,31
1423,419
1424,28
1223,102
433,671
1096,209
485,25
2267,141
3094,19
2654,92
113,1898
824,193
1992,112
2774,48
3034,15
1102,343
1874,36
1432,45
2823,31
1796,67
1689,134
1438,143
1801,245
1107,203
1482,288
2826,31
1012,31
369,470
161,29
1441,36
900,589
234,71
2199,109
981,9
2782,129
2888,55
235,77
1668,200
439,398
238,415
449,25
1390,110
2501,132
1863,45
1864,257
106,323
1865,178
850,251
1391,93
1978,148
699,263
1279,81
1983,60
2630,82
463,331
2819,18
3419,6
23,1618
1455,52
525,488
3667,1
49,238
1087,272
1870,146
1871,196
2491,204
2213,39
2891,150
475,206
729,695
1421,110
743,1277
744,148
745,477
2435,94
3265,0
1094,232
2784,83
2502,92
2514,110
1429,122
331,701
193,378
916,382
3262,15
495,457
1287,93
3564,0
2203,93
3369,4
3566,2
1997,9
365,338
3395,12
2620,35
1589,47
1802,7
3421,8
2228,25
427,67
2898,14
1892,25
3638,0
2748,17
2470,119
1822,77
3227,1
2181,35
3151,2
3495,0
1896,36
245,106
3589,2
2246,20
3657,1
1165,287
566,450
567,813
33,941
97,1848
123,995
3692,2
587,1000
128,1782
8,520
10,736
588,341
396,744
3394,8
1824,185
3008,17
3514,1
2631,30
2434,38
1408,151
2391,57
3659,2
51,1760
1409,51
1000,413
1989,143
1420,61
2771,61
3267,5
2050,42
1093,200
1990,15
3423,9
2960,27
2773,27
3520,2
3687,1
3123,14
2492,85
917,334
2129,5
2206,55
2824,10
1800,15
2207,2
2825,50
2146,93
2605,12
2621,50
2132,46
3435,1
3590,1
3470,2
3521,1
2469,14
56,313
58,1030
2471,12
442,69
3522,0
2985,6
187,445
3599,0
2993,27
3584,0
3154,1
1238,16
3524,1
1,364
2899,94
791,182
2070,6
2472,24
3485,2
2290,32
2473,36
2691,18
2626,42
599,332
3407,1
1341,409
1248,253
1182,211
3618,0
2696,42
3024,9
3408,2
3555,0
2751,25
2407,3
1317,142
3556,1
1681,87
2164,69
1350,91
2014,87
3488,3
1765,65
3409,5
2204,109
3660,1
3355,20
3427,6
2178,30
3118,25
3568,1
1009,187
828,473
2208,92
2848,31
2209,45
3451,2
384,102
2443,32
3174,20
2790,1
1893,24
1321,164
21,310
3046,18
1328,265
2793,72
3037,8
247,142
3396,3
3397,1
3183,24
3592,4
195,926
3297,2
1898,73
126,786
1029,228
468,232
2402,120
598,77
3356,3
29,470
3112,20
2789,45
879,293
3587,4
611,938
2922,8
1759,19
2244,8
2986,5
3331,2
3613,2
3398,1
2585,47
2536,25
2779,90
888,202
3662,0
802,51
634,114
1908,72
2797,15
3443,9
1197,15
2798,1
3553,5
2786,1
542,526
1684,41
160,1212
2475,77
2082,105
35,284
668,256
1135,537
1202,317
2562,2
808,686
3497,2
3601,1
3624,0
3336,1
2505,7
3498,3
1207,140
1208,221
258,438
2182,87
581,311
1611,35
1335,165
518,244
2068,45
3098,11
2538,24
2634,76
2270,76
2921,6
830,35
3353,1
3549,4
1180,128
3664,3
3343,1
3474,4
1616,24
2248,1
3656,2
3121,34
1827,84
627,207
2668,15
887,409
1193,54
2987,3
1828,72
1829,162
1594,153
412,344
1055,102
3012,37
2968,14
1134,106
3669,1
2935,6
1464,29
1807,5
2080,108
1198,350
3264,20
2322,88
1365,438
3481,2
2700,7
669,1582
3527,1
227,7
430,184
3411,19
1632,8
3465,9
3013,1
229,376
3014,18
3650,1
2179,34
2543,34
3620,1
3581,5
2414,30
2678,14
2902,18
3653,1
1142,165
1717,237
3096,50
2988,40
3542,1
2189,31
1889,66
3450,0
3220,35
3615,2
1736,126
2398,100
1924,52
3413,2
295,38
1701,67
723,374
726,525
1761,247
1460,132
82,464
1253,632
629,707
1448,257
1461,134
1544,80
321,936
1764,269
1195,577
1260,211
420,1155
338,707
2,442
645,255
648,301
2862,63
649,135
9,1176
153,825
1501,212
1449,317
661,794
662,1180
3319,6
665,270
1556,59
1465,257
2083,63
1451,325
1561,147
679,127
1503,302
832,205
2526,44
2305,80
1778,34
11,145
3084,6
1080,259
2238,68
985,199
684,109
2306,66
1635,180
1506,114
1452,111
1637,101
1564,153
1921,205
1278,288
851,178
693,479
694,266
1454,297
2087,26
1510,22
2925,9
2034,35
2090,16
1514,19
3422,7
712,34
2877,29
1639,177
3580,6
3429,14
294,501
719,768
2710,26
736,190
3434,3
2147,59
2092,13
3642,2
1702,37
3504,2
2035,72
3352,3
3617,2
102,54
2672,23
3444,3
823,158
2593,29
2759,50
3577,1
2168,41
1838,116
3208,15
2260,7
355,322
1839,184
3069,22
2331,65
835,209
3166,16
3010,4
1349,79
2173,86
1056,105
3072,60
413,168
2553,67
636,209
1852,168
1853,94
650,207
1062,179
1767,86
653,163
654,111
1553,204
1769,89
655,400
667,283
1367,173
37,398
670,152
2223,81
671,193
3244,6
511,239
45,720
46,384
388,215
680,220
682,380
1076,203
1206,122
14,643
210,1188
1209,405
3385,9
3052,2
3271,2
1488,338
686,376
395,72
2737,23
257,58
1213,303
191,318
2117,102
1981,80
2464,26
1877,61
2579,13
3190,36
1311,182
2818,6
464,342
527,552
1577,259
2777,2
2442,16
1086,149
2049,124
3078,17
2728,25
995,76
3668,2
3368,3
741,883
2897,15
1001,495
1641,271
183,924
756,652
1644,295
2126,113
1795,108
111,471
1478,94
1582,266
3201,14
419,481
336,862
147,775
772,267
925,518
363,465
1106,857
366,389
152,238
26,1595
3382,3
2130,145
1381,295
386,709
1809,3
61,293
681,330
2817,31
3565,2
2512,66
2252,26
3146,36
2910,21
3512,1
3406,12
3266,8
3513,0
2653,22
460,331
3455,9
2578,21
142,285
698,266
1083,227
277,1217
2386,119
702,630
1576,159
2216,159
2727,153
3147,0
2956,2
727,296
206,1096
3440,6
3635,1
3516,1
3348,13
3517,2
1673,205
535,632
3106,2
2911,109
3302,24
1581,18
3080,10
3359,8
3360,3
2128,64
1647,62
3054,13
3021,4
3009,1
2338,66
3235,13
2689,30
3248,10
379,292
1651,419
2000,143
3375,4
220,255
1483,86
1891,110
2231,163
945,608
1444,31
3456,5
1528,683
1895,56
950,332
1023,398
2161,109
88,470
1235,179
1897,92
261,150
262,67
0,1224
2535,148
124,2109
5,1648
127,1785
1241,636
714,1292
215,552
2580,58
716,435
718,584
1220,151
994,868
47,637
1466,801
2122,117
64,1985
1987,180
1283,332
67,1160
209,1407
740,660
855,64
71,240
1284,182
1158,901
755,917
434,1174
1228,876
539,320
1467,302
105,960
1794,143
1286,177
2011,473
766,923
1586,525
2732,30
546,716
770,709
1517,496
2604,67
1457,206
2269,253
217,1490
2052,50
1109,815
377,222
170,477
172,246
52,593
174,871
1231,363
1232,550
236,687
1605,166
559,835
77,368
560,315
2660,40
562,421
563,342
1115,756
84,1231
2232,216
192,403
839,466
861,492
1612,196
116,1658
194,707
1240,535
265,212
585,462
22,1797
593,402
1539,456
2611,111
467,312
1041,535
597,636
469,248
600,844
285,131
1902,199
1496,144
609,681
610,286
960,375
1344,565
613,198
6,499
797,799
2503,130
1906,164
186,1101
631,406
87,481
633,806
1543,186
411,394
1499,303
1347,274
1545,519
1584,220
1008,255
765,532
834,210
199,1006
1995,95
1291,96
547,1088
549,36
2027,5
3165,22
1294,8
3464,2
3652,0
2868,29
555,631
1111,395
2354,25
2744,32
3373,12
2346,18
2355,45
1114,256
2356,17
2357,26
2965,88
838,31
3025,71
1535,506
1119,249
2966,9
3138,36
1885,38
584,458
1128,159
3107,34
1899,200
523,468
1039,233
594,410
2836,116
1179,318
1540,170
2297,12
1130,282
3062,26
1901,65
1680,132
2474,179
2406,52
528,918
53,389
529,835
1826,162
3486,2
2627,111
3022,75
2077,80
3487,2
1907,41
2078,79
1054,249
3383,3
117,800
641,577
119,699
1133,432
643,1009
644,640
646,765
647,718
196,390
197,248
426,576
1363,208
2943,84
3081,9
3048,4
157,307
3526,1
213,1150
1267,263
2409,149
1378,83
1075,775
225,137
437,931
177,1027
1666,212
896,756
2753,43
1777,45
2754,71
2067,116
2459,56
1177,329
3103,15
1118,614
110,687
583,269
2866,62
462,273
3169,16
2694,35
1757,131
2439,22
2141,201
1900,29
1615,93
3554,4
2029,18
883,191
2934,11
1186,122
3345,10
2861,33
959,36
300,196
3626,1
181,168
2076,75
3388,4
3688,1
3442,5
2256,13
1192,230
2460,29
3150,49
418,332
114,51
3437,6
2541,104
540,135
3184,33
342,312
2081,8
1770,94
2504,59
3117,13
2635,44
1364,183
3258,17
1831,268
2185,70
811,153
1377,21
1560,109
2637,86
226,504
1164,97
3616,0
2901,4
2461,35
2638,30
1834,93
2639,61
446,349
2085,18
849,386
1672,191
2757,44
1920,97
2896,86
274,484
3358,4
906,118
458,210
2188,28
3057,18
3299,13
3283,8
2190,32
2992,21
2640,38
818,99
1085,281
316,790
3187,12
2588,8
2796,109
3361,11
2304,24
2923,27
318,14
3525,2
3063,19
332,554
3313,3
2333,122
2560,41
335,856
1711,265
3381,5
3552,11
1910,6
2863,41
3055,34
1830,61
155,980
3546,1
367,20
2864,9
3579,3
2900,17
3557,4
224,75
55,250
3130,5
2589,8
1386,156
2299,167
2476,4
86,890
28,54
813,37
2756,24
3483,1
3233,11
2828,50
2186,24
125,688
3529,2
271,94
3622,0
1396,270
3230,2
3314,3
1084,426
817,23
2592,24
3231,15
32,331
3254,7
400,561
3221,18
1792,32
2709,19
432,989
3363,11
3330,10
3176,1
189,1771
2608,47
2191,40
750,17
538,973
2904,18
753,393
857,417
1426,205
488,334
1723,362
1103,323
2193,74
1436,114
351,213
2276,45
2307,18
137,576
2962,87
2291,51
1771,56
977,48
1833,32
1664,257
2636,44
2274,58
1074,75
895,741
1914,39
78,1205
1915,172
2590,40
2669,23
983,291
185,146
1670,271
246,1604
904,236
1687,279
451,56
3350,5
1918,92
987,42
905,607
2780,62
1919,173
2086,68
3503,0
2704,34
1787,17
706,199
284,360
3351,4
470,680
1412,57
176,835
2849,48
303,176
910,346
911,589
2827,54
2462,59
1928,131
309,124
320,37
3067,14
3505,4
322,747
749,60
1160,57
3164,8
1489,10
1707,78
3089,6
496,125
2335,70
2463,11
1313,509
2905,2
826,141
1798,16
2537,82
3310,29
543,24
2497,50
3370,17
926,222
509,795
428,752
3445,6
775,787
1804,29
510,337
3016,21
1526,329
2294,99
438,674
228,152
230,46
3544,5
1936,72
66,228
389,218
1174,170
98,549
3234,16
447,243
1163,327
3001,23
3276,22
1533,114
466,199
907,207
1402,54
280,1085
2136,115
3675,0
474,428
1411,176
3604,1
302,10
1155,312
3532,5
306,252
3149,6
27,1089
319,612
3627,0
2758,18
1930,98
2093,152
2681,15
324,514
339,120
2054,41
343,773
344,59
346,141
498,196
1104,29
2804,4
3000,8
2643,57
2838,33
371,627
1014,622
3086,6
2277,44
1840,151
786,144
1172,281
2325,22
554,36
3120,69
233,36
1607,129
1841,146
3536,1
2595,17
1939,241
3575,17
2647,36
1125,165
3091,2
521,624
954,378
2507,6
1758,6
882,144
164,1025
1470,118
3538,2
297,62
3071,43
65,321
3304,10
314,110
2812,2
2813,2
1845,117
3060,27
1188,161
118,267
920,88
921,437
422,123
2419,10
3116,27
507,255
2761,9
2622,32
3311,22
3570,1
1934,77
3085,9
3658,0
1745,152
3017,17
2314,73
2742,21
3032,27
1653,73
3300,18
3609,0
564,487
3678,1
1332,195
95,341
1592,253
36,102
3145,43
2882,49
456,107
2421,63
3682,2
3698,1
2807,21
1243,206
3253,14
1941,122
3454,6
3438,6
3608,2
3507,1
3211,13
2840,29
2468,75
2508,57
2883,19
2172,119
2484,17
2345,28
1948,3
2020,144
2884,100
3296,8
3124,36
2648,133
2811,25
3689,1
2650,34
2954,50
2221,3
3403,8
103,179
2834,19
1659,106
1058,610
3476,4
3484,8
2441,14
1356,17
2283,44
1063,340
890,484
356,207
357,419
3582,3
804,41
1359,277
2449,34
2428,2
2814,5
894,284
3173,11
1685,339
1595,210
2597,35
378,97
3376,12
3197,6
2482,41
3320,4
2645,19
3192,4
2156,82
3645,1
3101,22
34,355
3535,1
251,662
2568,24
932,366
272,639
1940,118
1755,271
3602,1
457,234
133,790
590,470
2145,84
1316,257
288,437
1486,37
290,958
1710,184
2336,33
2152,23
602,178
2682,21
2308,61
2684,4
1844,157
2509,26
2685,16
2104,64
2040,77
2309,54
1498,44
2105,76
2148,161
2310,64
2523,77
2337,86
2687,40
1847,263
101,370
1549,144
414,539
637,137
1624,152
1963,252
2043,153
1730,447
136,597
139,798
140,321
1064,354
143,455
1264,377
425,437
1070,455
41,953
42,475
1663,170
1628,197
1270,539
373,143
673,384
168,1042
1808,195
1810,193
1811,179
1812,143
1813,159
1141,219
1814,119
1505,136
1679,112
1815,73
1816,71
1818,63
1819,69
868,377
1732,134
1733,80
1734,83
1735,89
2382,62
2383,39
3005,9
3006,11
1217,174
2385,98
2387,65
1149,558
2352,133
2388,80
431,638
2623,80
2389,88
711,1130
713,691
163,554
715,535
1153,265
717,496
166,696
1884,39
2928,9
724,288
998,273
737,828
738,812
311,424
1090,132
739,267
1872,74
408,115
17,417
1092,441
1098,551
754,562
2633,178
489,537
2230,102
1099,161
2392,101
1692,85
48,1872
329,47
2893,23
2894,30
768,150
1724,197
2665,37
2205,69
1799,40
1996,132
3586,1
778,86
779,94
1108,141
781,112
3142,36
782,35
783,347
784,13
2289,96
785,25
1823,69
2869,75
1021,131
1326,259
558,730
3099,31
3181,13
2012,68
240,574
1327,194
2255,136
3292,5
2913,53
3104,8
1120,554
1492,329
1446,81
115,388
2625,78
2069,94
279,190
1538,111
592,208
2268,45
3129,17
2919,60
794,475
595,120
596,458
2073,11
608,613
207,701
401,250
1045,176
2272,55
1046,396
2539,18
612,405
1617,361
1047,183
624,171
626,142
2183,109
628,194
630,508
2980,81
632,362
1728,143
2342,56
2350,144
424,820
3478,10
2286,143
1161,27
2395,35
767,675
827,138
1743,150
769,583
771,395
1744,261
777,226
1998,247
2397,52
1999,180
205,786
1016,308
1017,210
1295,252
1296,108
1894,171
2353,182
1175,162
1020,154
556,491
557,304
73,349
3449,4
3137,14
2856,3
2066,208
3182,20
1299,215
577,374
1176,349
578,159
579,152
580,362
582,209
1027,255
591,498
1034,282
1035,140
1037,252
1301,526
1038,473
1340,255
2028,152
1245,115
1246,76
1185,470
2870,98
1825,44
1044,213
1343,98
1657,174
3307,6
2247,14
3198,11
301,156
1131,500
622,497
1904,122
1191,149
3212,15
1905,82
536,102
188,575
1762,56
2273,83
2165,83
1625,151
3424,3
969,80
642,1046
3064,12
1261,128
2079,57
1552,66
3126,30
2699,39
2334,86
2347,74
1555,137
2015,104
3294,11
1450,337
3295,18
368,165
1201,17
2257,40
3335,5
3380,5
678,560
57,770
1140,78
2166,21
3362,9
3701,1
3263,7
3162,14
1239,140
2300,170
2302,60
1752,23
1534,117
3282,4
1491,149
3426,7
2303,37
3206,15
2071,91
3639,1
3661,0
3298,7
3640,0
3685,1
3035,7
3461,8
3628,3
3569,1
3207,18
2343,245
1903,169
3399,4
3400,8
3496,0
80,147
3039,35
1620,59
1621,61
2540,166
1257,98
2408,4
865,551
3327,5
1304,358
3357,9
1355,264
1061,651
1196,162
1661,43
3308,2
659,129
1066,289
3550,1
2612,55
3036,18
3392,9
3646,1
1266,142
2410,39
1374,121
1376,216
1204,121
1912,57
1205,53
1379,140
2411,51
59,751
1380,142
2734,54
902,83
903,403
3144,44
2755,43
3501,1
93,572
2259,168
2344,89
3065,8
269,227
3324,43
2447,32
2330,37
2875,24
989,192
990,512
275,681
2089,85
283,1068
1788,16
3066,17
30,445
2613,49
1152,103
472,238
3095,11
3551,3
617,454
1303,262
534,759
1542,228
3289,6
2795,17
801,65
2853,30
3686,1
3683,2
2008,98
968,328
108,231
1352,329
492,76
1909,103
640,161
3293,7
334,224
503,129
20,807
1265,196
362,22
505,821
805,85
3139,12
2361,68
1911,123
506,444
2628,60
1630,119
3329,5
219,402
1665,285
810,301
435,661
223,89
1139,214
1776,15
24,238
2084,26
3163,7
2413,1
1562,148
2874,33
984,201
2249,67
1079,199
1917,119
3346,17
2702,83
1310,613
120,684
2187,103
4,1228
1786,72
2180,156
3453,3
129,477
2516,85
2494,107
2982,31
1474,217
2016,76
2017,94
212,524
1151,221
2363,41
941,591
854,90
730,444
2679,156
1089,121
1222,168
734,290
1156,225
997,123
735,290
1600,161
1601,129
2418,113
1602,107
1603,108
323,394
1642,99
3041,39
913,150
2983,9
914,189
345,230
922,512
943,140
762,555
923,405
350,855
134,1683
3277,18
12,258
764,153
3077,34
1832,207
1072,281
1371,273
1073,216
675,469
385,943
676,688
1714,176
1271,323
1274,271
1275,256
1385,196
1211,295
848,261
1780,11
1212,260
1781,52
1388,67
1277,51
1393,351
1081,351
1082,201
688,372
690,595
2799,39
1785,17
122,590
268,329
455,125
1700,91
703,341
1599,93
908,429
2154,41
2088,70
707,81
282,59
3694,1
2155,139
2708,36
3401,15
477,112
1790,85
3571,4
2829,53
3015,46
1416,185
2167,135
3325,23
1095,299
2365,76
3250,14
747,120
1004,343
1005,754
1722,208
2094,183
2466,90
1425,167
1739,77
1740,47
1741,38
1433,319
3026,5
3108,29
3259,12
1583,227
1797,251
423,350
200,649
1604,288
2096,64
1440,129
1649,238
2745,99
2292,202
2945,28
1230,400
2762,33
3681,2
3161,25
2594,23
2806,15
3506,1
870,285
3193,6
3179,4
2712,55
94,536
1750,78
1751,98
2763,20
2549,21
2519,75
571,243
572,114
574,87
2218,39
1886,80
149,425
1150,617
3412,7
2670,129
2135,185
398,110
816,39
3284,14
3303,2
1282,59
2707,14
2671,231
2641,80
2364,40
2642,31
1925,187
2416,211
2236,74
1721,131
3040,67
3177,47
1821,29
1703,190
2366,105
1002,89
1003,449
856,429
748,819
759,241
1836,222
1837,249
1007,320
1480,7
2317,85
3260,26
1705,24
3334,4
825,435
1677,104
508,385
1011,442
3691,0
1490,11
2999,10
1708,109
2644,77
1013,120
1458,127
2420,130
2747,22
946,157
947,100
927,112
3347,1
3414,4
1324,156
2194,19
250,129
2448,93
3457,7
3479,1
1531,260
2278,29
874,199
930,151
2915,8
2529,64
132,1780
862,485
1031,39
1124,137
1614,97
3446,2
3268,21
3321,4
2715,20
291,496
881,421
2261,45
2055,169
3537,1
2809,38
3175,18
2683,73
2850,52
2736,35
3547,2
3583,1
3274,27
2572,49
2138,97
2649,48
800,363
315,1067
493,292
2803,4
919,555
1931,146
341,39
3436,3
2478,52
2760,28
1648,102
1588,99
1010,192
2781,32
2019,131
836,427
202,698
3113,31
3475,1
3070,24
2567,51
551,294
3647,2
2805,64
2169,45
2544,23
2952,9
60,1593
928,92
2713,26
3228,4
3472,9
1116,114
2368,69
2369,25
2971,7
1530,21
1117,27
789,119
586,869
840,595
1242,364
934,223
1121,164
2370,73
1122,26
1123,35
1126,276
1127,42
1541,23
2839,61
2371,42
1129,28
2467,83
2947,32
2662,34
603,870
3217,5
2717,33
961,98
962,63
615,399
963,41
964,424
2373,56
2663,19
965,39
966,197
1694,65
2042,165
1194,514
2139,284
3049,2
1548,14
3301,7
889,178
1682,158
2140,17
2766,4
1713,32
1626,62
352,1010
2886,3
500,425
16,321
501,492
2722,27
2153,272
3332,15
43,775
672,164
866,546
2851,11
2486,49
2487,35
512,946
243,888
929,642
445,277
3702,0
2942,33
3415,4
788,976
873,437
1606,30
1314,175
790,861
2764,20
454,653
931,291
2280,66
3119,13
273,1550
131,397
1030,269
877,336
935,251
286,63
936,417
287,601
880,437
289,67
1249,96
3287,20
162,306
2102,137
2570,112
863,132
1618,95
3079,39
308,334
180,318
2372,159
3140,18
1760,50
1049,313
2972,10
2424,44
3539,1
3202,16
2021,27
2425,165
635,655
1500,256
1697,99
2426,57
1962,195
2955,38
971,128
3214,41
3109,9
2111,20
3278,23
1305,95
3378,19
354,321
3275,3
939,459
38,1678
891,744
893,197
3417,6
809,26
3092,20
2815,7
2450,58
231,655
2215,113
1690,179
3270,11
1667,44
3366,10
3441,9
3611,5
3189,24
1383,226
1508,55
1976,45
1143,74
3578,5
2976,43
2860,16
2005,53
1977,118
2003,310
1144,117
1147,38
15,1230
1216,372
1982,184
1218,270
701,387
1598,161
19,999
1399,110
2959,78
1167,16
2530,62
404,226
2144,238
7,952
937,308
307,145
1048,59
1250,266
2867,14
3082,27
3655,2
2573,29
3333,18
3430,5
1658,187
1696,101
1547,79
2295,41
2109,211
2110,40
3509,3
844,170
3431,4
2720,9
3050,3
651,519
1855,231
938,88
1768,118
2723,8
3452,5
3603,4
3194,13
2652,35
1136,116
3122,18
2917,8
897,282
898,331
3251,26
3051,17
2816,59
3703,1
1731,127
3133,22
2961,33
1779,20
3185,5
1975,100
100,111
3111,22
3134,8
3004,7
940,65
1862,265
104,2399
2577,154
1146,83
2237,230
2531,63
696,352
2726,24
2835,15
2431,135
1570,215
3007,45
3236,3
1515,134
204,503
720,513
2229,16
725,50
1407,200
2284,31
2327,160
2390,28
2174,116
2266,54
69,540
912,83
819,193
1793,31
3076,41
2990,25
3519,2
942,90
2847,195
326,715
2025,120
3240,7
1100,31
2785,27
3614,1
3100,21
2931,13
2655,74
2202,85
2895,105
974,237
2949,113
2974,79
2311,13
2617,48
1366,182
807,137
372,580
3705,1
3156,3
979,330
2142,13
3290,7
1308,592
62,1410
1272,352
13,1047
1633,274
867,70
1563,213
1507,168
3386,11
2234,84
2488,40
1566,327
2254,79
2430,57
2149,143
3593,4
3155,4
1569,76
3053,6
3349,4
1511,104
1512,118
2313,83
2315,18
2119,39
2121,71
1575,192
1406,252
165,115
1475,510
3317,21
722,201
216,640
728,554
1154,446
1417,244
208,353
313,128
1091,254
3598,3
1988,91
317,1040
3291,2
915,185
2603,6
2772,13
2912,6
1873,51
415,310
757,87
758,709
1645,66
2731,76
2227,227
1676,38
1292,331
2657,58
944,80
869,396
2619,31
2288,84
2160,29
3342,12
3143,28
1591,58
3490,6
1018,842
1726,342
218,1233
2624,72
1019,313
1112,268
1113,314
2964,23
1022,286
2749,9
2158,238
2659,86
184,1593
2515,10
2865,3
1166,256
2404,6
2690,19
3428,7
875,182
876,454
256,608
2133,216
2750,33
2692,23
1727,106
1493,7
2360,40
2405,35
2072,91
278,325
1178,72
1536,173
1537,281
296,383
2967,24
1494,154
2013,111
3245,11
3306,7
3387,6
1495,94
2332,130
70,147
2794,39
967,167
864,643
620,239
76,288
841,112
623,403
2697,54
625,593
1351,218
2738,52
2871,43
2872,30
1258,408
1766,86
333,68
2698,14
2873,49
2001,24
2914,11
360,104
1200,700
1168,247
2184,91
2561,62
1362,4
3594,2
2969,8
1629,384
1631,190
1472,243
1373,83
2495,42
3633,1
677,139
1913,233
54,272
2151,39
847,424
81,228
392,687
2456,22
393,151
2701,49
1782,67
2563,57
1916,99
249,102
263,741
1145,589
266,297
3684,2
3543,2
691,56
692,374
1509,251
2033,174
2705,123
1638,97
1923,14
2233,147
2506,77
159,381
1513,69
708,128
1405,369
709,184
312,421
799,562
1471,179
2074,49
1251,536
18,478
3038,18
74,604
75,668
2075,41
1550,22
1551,151
2150,48
327,411
50,1109
2134,80
3410,5
2559,44
2245,52
2994,2
1199,93
1554,13
3158,21
3672,2
2162,29
2438,147
3372,3
2733,36
2752,39
806,203
1370,79
3462,1
2455,31
3028,29
2031,111
2525,128
3528,3
3226,9
2362,47
2944,14
3238,7
2258,45
1669,101
3159,29
2741,36
901,195
812,213
85,875
444,481
2859,6
2446,43
3384,0
1394,234
689,172
2457,5
452,239
988,264
1691,363
2800,32
1523,334
524,764
2876,11
2833,19
281,223
3676,0
2854,47
3530,4
1573,106
