itemId,title,genres,pop
179,Happy Gilmore (1996),Comedy,486
481,"Bridges of Madison County, The (1995)",Drama|Romance,292
3115,Nobody Loves Me (Keiner liebt mich) (1994),Comedy|Drama,8
1737,Muppet Treasure Island (1996),Adventure|Children's|Comedy|Musical,184
3377,Catwalk (1995),Documentary,4
92,Braveheart (1995),Action|Drama|War,1675
486,Taxi Driver (1976),Drama|Thriller,910
1226,Rumble in the Bronx (1995),Action|Adventure|Crime,413
2053,Before and After (1996),Drama|Mystery,36
3203,Margaret's Museum (1995),Drama,8
752,Anne Frank Remembered (1995),Documentary,24
2477,"Young Poisoner's Handbook, The (1995)",Crime,56
1427,If Lucy Fell (1996),Comedy|Romance,49
2879,"Steal Big, Steal Little (1995)",Comedy,8
3425,Race the Sun (1996),Drama,3
3171,"Boys of St. Vincent, The (1993)",Drama,25
1435,Boomerang (1992),Comedy|Romance,129
1646,Chungking Express (1994),Drama|Mystery|Romance,79
3088,"Star Maker, The (Uomo delle stelle, L') (1995)",Drama,11
1289,Flirting With Disaster (1996),Comedy,219
1932,"NeverEnding Story III, The (1994)",Adventure|Children's|Fantasy,60
3696,"Silence of the Palace, The (Saimt el Qusur) (1994)",Drama,1
2926,Jupiter's Wife (1994),Documentary,6
2496,Pie in the Sky (1995),Comedy|Romance,11
3596,Angela (1995),Drama,2
2880,Frankie Starlight (1995),Drama|Romance,12
2097,Jade (1995),Thriller,63
3673,Nueba Yol (1995),Comedy|Drama,1
3680,Sonic Outlaws (1995),Documentary,1
1443,Down Periscope (1996),Comedy,102
3255,From the Journals of Jean Seberg (1995),Documentary,7
2787,Man of the Year (1995),Documentary,10
3666,"Neon Bible, The (1995)",Drama,1
3597,Target (1995),Action|Drama,1
1747,Up Close and Personal (1996),Drama|Romance,101
871,"Birdcage, The (1996)",Comedy,468
3534,Shadows (Cienie) (1988),Drama,1
1459,"Brothers McMullen, The (1995)",Comedy,298
1173,Bad Boys (1995),Action,242
2195,"Amazing Panda Adventure, The (1995)",Adventure|Children's,10
2481,"Basketball Diaries, The (1995)",Drama,126
1937,"Awfully Big Adventure, An (1995)",Drama,15
2858,Amateur (1994),Crime|Drama|Thriller,34
39,Apollo 13 (1995),Drama,887
448,Rob Roy (1995),Drama|Romance|War,395
2646,"Addiction, The (1995)",Horror,41
575,Batman Forever (1995),Action|Adventure|Comedy|Crime,551
1532,Belle de jour (1967),Drama,118
1609,Beyond Rangoon (1995),Drama|War,59
2219,Blue in the Face (1995),Comedy,46
1315,Canadian Bacon (1994),Comedy|War,135
1025,Casper (1995),Adventure|Children's,176
1876,Clockers (1995),Drama,84
878,Congo (1995),Action|Adventure|Mystery|Sci-Fi,391
461,Crimson Tide (1995),Drama|Thriller|War,546
276,Crumb (1994),Documentary,347
144,Desperado (1995),Action|Romance|Thriller,376
955,Devil in a Blue Dress (1995),Crime|Film-Noir|Mystery|Thriller,269
146,Die Hard: With a Vengeance (1995),Action|Thriller,571
2137,"Doom Generation, The (1995)",Comedy|Drama,42
3269,Feast of July (1995),Drama,3
1036,First Knight (1995),Action|Adventure|Drama|Romance,262
2197,Free Willy 2: The Adventure Home (1995),Adventure|Children's|Drama,82
1843,Hackers (1995),Action|Crime|Thriller,205
2440,Jeffrey (1995),Comedy,65
1655,Johnny Mnemonic (1995),Action|Sci-Fi|Thriller,328
1184,Judge Dredd (1995),Action|Adventure|Sci-Fi,411
2841,Jury Duty (1995),Comedy,56
1302,Kids (1995),Drama,151
298,Living in Oblivion (1995),Comedy,149
1945,Lord of Illusions (1995),Horror,93
1656,Love & Human Remains (1993),Comedy,15
2596,Mad Love (1995),Drama|Romance,36
618,Mallrats (1995),Comedy,333
2198,Mighty Morphin Power Rangers: The Movie (1995),Action|Children's,73
2107,Moonlight and Valentino (1995),Drama|Romance,36
2718,Mute Witness (1994),Thriller,20
1952,Nadja (1994),Drama,18
1190,"Net, The (1995)",Sci-Fi|Thriller,396
621,Nine Months (1995),Comedy,151
1252,Party Girl (1995),Comedy,80
1954,"Prophecy, The (1995)",Horror,133
3374,Reckless (1995),Comedy,11
1956,Safe (1995),Thriller,75
2842,"Scarlet Letter, The (1995)",Drama,55
3448,"Show, The (1995)",Documentary,1
1957,Showgirls (1995),Drama,148
330,Smoke (1995),Drama,157
1354,Something to Talk About (1995),Comedy|Drama|Romance,111
1259,Species (1995),Horror|Sci-Fi,390
3416,"Stars Fell on Henrietta, The (1995)",Drama,9
970,Strange Days (1995),Action|Crime|Sci-Fi,404
421,"Umbrellas of Cherbourg, The (Parapluies de Cherbourg, Les) (1964)",Drama|Musical,89
3195,"Tie That Binds, The (1995)",Thriller,6
2677,Three Wishes (1995),Drama,22
370,Total Eclipse (1995),Drama|Romance,24
774,"To Wong Foo, Thanks for Everything! Julie Newmar (1995)",Comedy,125
2293,Under Siege 2: Dark Territory (1995),Action,145
1803,Unstrung Heroes (1995),Comedy|Drama,55
2518,Unzipped (1995),Documentary,57
1442,"Walk in the Clouds, A (1995)",Drama|Romance,144
776,Waterworld (1995),Action|Adventure,472
2615,White Man's Burden (1995),Drama,36
2951,Wild Bill (1995),Western,31
2480,"Browning Version, The (1994)",Drama,24
3167,Bushwhacked (1995),Comedy,9
2517,Burnt By the Sun (Utomlyonnye solntsem) (1994),Drama,88
2629,Before the Rain (Pred dozhdot) (1994),Drama,23
232,Before Sunrise (1995),Drama|Romance,117
787,Billy Madison (1995),Comedy,244
1325,"Babysitter, The (1995)",Drama|Thriller,46
1748,Boys on the Side (1995),Comedy|Drama,146
3466,"Cure, The (1995)",Drama,17
3344,Castle Freak (1995),Horror,22
1024,Circle of Friends (1995),Drama|Romance,220
515,Clerks (1994),Comedy,986
252,Don Juan DeMarco (1995),Comedy|Drama|Romance,271
2099,Disclosure (1994),Drama|Thriller,178
3654,Dream Man (1995),Thriller,0
2550,Drop Zone (1994),Action,83
3090,Destiny Turns on the Radio (1995),Comedy,10
254,Death and the Maiden (1994),Drama|Thriller,87
459,Dolores Claiborne (1994),Drama|Thriller,247
793,Dumb & Dumber (1994),Comedy,443
1033,Eat Drink Man Woman (1994),Comedy|Drama,230
1654,Exotica (1994),Drama,162
1337,Exit to Eden (1994),Comedy,94
141,Ed Wood (1994),Comedy|Drama,646
1338,French Kiss (1995),Comedy|Romance,213
1339,Forget Paris (1995),Comedy|Romance,171
2196,Far From Home: The Adventures of Yellow Dog (1995),Adventure|Children's,23
1842,"Goofy Movie, A (1995)",Animation|Children's|Comedy|Romance,111
2171,Hideaway (1995),Thriller,34
2399,Fluke (1995),Children's|Drama,20
1944,Farinelli: il castrato (1994),Drama|Musical,55
3059,Gordy (1995),Comedy,8
3288,Gumby: The Movie (1995),Animation|Children's,4
3402,"Glass Shield, The (1994)",Crime|Drama,7
795,Hoop Dreams (1994),Documentary,507
958,Heavenly Creatures (1994),Drama|Fantasy|Romance|Thriller,352
607,Houseguest (1994),Comedy,96
796,Immortal Beloved (1994),Drama|Romance,186
2933,Heavyweights (1994),Children's|Comedy,16
2375,"Hunted, The (1995)",Action,13
1345,I.Q. (1994),Comedy|Romance,249
482,Interview with the Vampire (1994),Drama|Horror,506
2106,Jefferson in Paris (1995),Drama,27
2686,"Jerky Boys, The (1994)",Comedy,53
1189,Junior (1994),Comedy|Sci-Fi,141
886,Just Cause (1995),Mystery|Thriller,82
1695,"Kid in King Arthur's Court, A (1995)",Adventure|Children's|Comedy|Fantasy|Romance,96
1953,Kiss of Death (1995),Crime|Drama|Thriller,73
44,Star Wars: Episode IV - A New Hope (1977),Action|Adventure|Fantasy|Sci-Fi,2078
1059,Little Women (1994),Drama,211
1060,"Little Princess, A (1995)",Children's|Drama,117
2907,Ladybird Ladybird (1994),Drama,21
3404,"Enfer, L' (1994)",Drama,3
109,Like Water for Chocolate (Como agua para chocolate) (1992),Drama|Romance,559
416,Legends of the Fall (1994),Drama|Romance|War|Western,498
1353,Major Payne (1994),Comedy,97
1959,Little Odessa (1994),Drama,40
494,My Crazy Life (Mi vida loca) (1993),Drama,50
3196,Love Affair (1994),Drama|Romance,62
2616,Losing Isaiah (1995),Drama,38
358,"Madness of King George, The (1994)",Drama,272
2379,Mary Shelley's Frankenstein (1994),Drama|Horror,167
2607,Man of the House (1995),Comedy,17
658,Mixed Nuts (1994),Comedy,56
1360,Milk Money (1994),Comedy|Romance,157
660,Miracle on 34th Street (1994),Drama,132
1361,Miami Rhapsody (1995),Comedy,28
2113,My Family (1995),Drama,32
1860,Murder in the First (1995),Drama|Thriller,156
1969,Nobody's Fool (1994),Drama,172
513,Nell (1994),Drama,147
3093,New Jersey Drive (1995),Crime|Drama,13
3699,Nemesis 2: Nebula (1995),Action|Sci-Fi|Thriller,1
1774,Nina Takes a Lover (1994),Comedy|Romance,15
222,Natural Born Killers (1994),Action|Thriller,495
1775,Only You (1994),Comedy|Romance,98
1973,Once Were Warriors (1994),Crime|Drama,123
1077,Poison Ivy II (1995),Thriller,35
79,Outbreak (1995),Action|Drama|Thriller,514
982,"Professional, The (a.k.a. Leon: The Professional) (1994)",Crime|Drama|Romance|Thriller,649
2263,"Perez Family, The (1995)",Comedy|Romance,34
2831,"Pyromaniac's Love Story, A (1995)",Comedy|Romance,22
244,Pulp Fiction (1994),Crime|Drama,1531
3229,Panther (1995),Drama,26
2224,Pushing Hands (1992),Comedy,16
248,Priest (1994),Drama,93
520,Quiz Show (1994),Drama,467
2765,Picture Bride (1995),Drama|Romance,28
1032,Queen Margot (La Reine Margot) (1994),Drama|Romance,61
1300,"Quick and the Dead, The (1995)",Action|Adventure|Western,293
3249,Roommates (1995),Comedy|Drama,28
1756,Ready to Wear (Pret-A-Porter) (1994),Comedy,89
2483,Three Colors: Red (1994),Drama,234
1942,Three Colors: Blue (1993),Drama,175
2569,Three Colors: White (1994),Drama,138
1943,"Red Firecracker, Green Firecracker (1994)",Drama,35
3318,Rent-a-Kid (1995),Comedy,4
3644,Relative Fear (1994),Horror|Thriller,1
1183,Stuart Saves His Family (1995),Comedy,81
1043,"Swan Princess, The (1994)",Animation|Children's,32
2039,"Secret of Roan Inish, The (1994)",Drama,210
1342,"Specialist, The (1994)",Action,98
605,Stargate (1994),Action|Adventure|Sci-Fi,781
606,"Santa Clause, The (1994)",Children's|Comedy|Fantasy,447
167,"Shawshank Redemption, The (1994)",Drama,1582
957,Shallow Grave (1994),Thriller,186
2571,Suture (1993),Film-Noir|Thriller,22
310,Strawberry and Chocolate (Fresa y chocolate) (1993),Drama,44
1950,Swimming with Sharks (1995),Comedy|Drama,134
2374,"Sum of Us, The (1994)",Comedy,28
2606,National Lampoon's Senior Trip (1995),Comedy,31
1951,To Live (Huozhe) (1994),Drama,45
1053,Tank Girl (1995),Action|Comedy|Musical|Sci-Fi,256
2376,Tales From the Crypt Presents: Demon Knight (1995),Horror,105
619,Star Trek: Generations (1994),Action|Adventure|Sci-Fi,690
1132,Tales from the Hood (1995),Comedy|Horror,98
3044,Tom & Viv (1994),Drama,17
2377,Village of the Damned (1995),Horror|Sci-Fi,112
638,Tommy Boy (1995),Comedy,279
1463,Vanya on 42nd Street (1994),Drama,80
3073,"Underneath, The (1995)",Mystery|Thriller,29
1849,"Walking Dead, The (1995)",Drama|War,15
491,What's Eating Gilbert Grape (1993),Drama,494
2555,Virtuosity (1995),Sci-Fi|Thriller,157
639,While You Were Sleeping (1995),Comedy|Romance,462
972,"War, The (1994)",Adventure|Drama,60
1965,Double Happiness (1994),Drama,20
803,Muriel's Wedding (1994),Comedy|Romance,354
3033,"Baby-Sitters Club, The (1995)",Children's,28
657,Ace Ventura: Pet Detective (1994),Comedy,533
502,"Adventures of Priscilla, Queen of the Desert, The (1994)",Comedy|Drama,333
1857,Backbeat (1993),Drama|Musical,91
3148,Bitter Moon (1992),Drama,32
361,Bullets Over Broadway (1994),Comedy,319
150,Clear and Present Danger (1994),Action|Adventure|Thriller,759
1368,"Client, The (1994)",Drama|Mystery|Thriller,364
674,"Corrina, Corrina (1994)",Comedy|Drama|Romance,170
2618,Crooklyn (1994),Comedy,83
375,"Crow, The (1994)",Action|Romance|Thriller,515
2844,Cobb (1994),Drama,42
1772,"Flintstones, The (1994)",Children's|Comedy,185
171,Forrest Gump (1994),Comedy|Romance|War,1535
382,Four Weddings and a Funeral (1994),Comedy|Romance,890
1970,Higher Learning (1995),Drama,99
3316,I Like It Like That (1994),Comedy|Drama|Romance,15
1861,I Love Trouble (1994),Action|Comedy,85
1384,It Could Happen to You (1994),Drama|Romance,183
2200,"Jungle Book, The (1994)",Adventure|Children's|Romance,178
2576,"Wonderful, Horrible Life of Leni Riefenstahl, The (Die Macht der Bilder) (1993)",Documentary,45
390,"Lion King, The (1994)",Animation|Children's|Musical,779
1974,Little Buddha (1993),Drama,53
1817,Wes Craven's New Nightmare (1994),Horror,167
514,"Mask, The (1994)",Comedy|Crime|Fantasy,865
83,Maverick (1994),Action|Comedy|Western,572
2768,Mrs. Parker and the Vicious Circle (1994),Drama,42
687,Naked Gun 33 1/3: The Final Insult (1994),Comedy,306
1783,"Paper, The (1994)",Comedy|Drama,143
1309,Reality Bites (1994),Comedy|Drama,302
2264,Red Rock West (1992),Thriller,183
1866,Richie Rich (1994),Children's|Comedy,131
3045,Safe Passage (1994),Drama,12
1868,"River Wild, The (1994)",Action|Thriller,245
264,Speed (1994),Action|Romance|Thriller,1144
1395,Speechless (1994),Comedy|Romance,90
1715,Timecop (1994),Action|Sci-Fi,309
148,True Lies (1994),Action|Adventure|Comedy|Romance,997
1400,When a Man Loves a Woman (1994),Drama,146
1984,Wolf (1994),Drama|Horror,205
397,Wyatt Earp (1994),Western,201
2465,Bad Company (1995),Action,30
3272,"Man of No Importance, A (1994)",Drama,7
3261,S.F.W. (1994),Drama,20
2433,"Low Down Dirty Shame, A (1994)",Action|Comedy,76
2770,Boys Life (1995),Drama,68
3367,"Colonel Chabert, Le (1994)",Drama|Romance|War,12
2253,Faster Pussycat! Kill! Kill! (1965),Action|Comedy|Drama,39
2581,Jason's Lyric (1994),Crime|Drama,27
2024,"Secret Adventures of Tom Thumb, The (1993)",Adventure|Children's,18
476,Street Fighter (1994),Action,76
3354,Coldblooded (1995),Action,12
3649,Fall Time (1995),Drama,1
3328,"Fear, The (1995)",Horror,9
3576,Frank and Ollie (1995),Documentary,1
3460,Mirage (1995),Action|Thriller,2
3225,Open Season (1996),Comedy,1
3690,Brother Minister: The Assassination of Malcolm X (1994),Documentary,2
1057,Highlander III: The Sorcerer (1994),Action|Sci-Fi,142
2485,Federal Hill (1994),Drama,6
2378,In the Mouth of Madness (1995),Horror|Thriller,143
2554,8 Seconds (1994),Drama,55
2776,Above the Rim (1994),Drama,36
1856,Addams Family Values (1993),Comedy,336
3153,You So Crazy (1994),Comedy,8
353,"Age of Innocence, The (1993)",Drama,200
1357,Airheads (1994),Comedy,168
2843,"Air Up There, The (1994)",Comedy,64
1966,Another Stakeout (1993),Comedy|Thriller,127
1358,Bad Girls (1994),Western,68
2222,Barcelona (1994),Comedy|Romance,146
2112,Being Human (1993),Drama,19
1858,"Beverly Hillbillies, The (1993)",Comedy,113
1137,Beverly Hills Cop III (1994),Action|Comedy,246
846,Black Beauty (1994),Adventure|Children's,65
3074,Blink (1994),Thriller,39
1859,Blown Away (1994),Action|Thriller,152
1369,Blue Chips (1994),Drama,53
1307,Blue Sky (1994),Drama|Romance,77
2556,Body Snatchers (1993),Horror|Sci-Fi|Thriller,189
1968,Boxing Helena (1993),Mystery|Romance|Thriller,108
550,"Bronx Tale, A (1993)",Drama,186
1203,Cabin Boy (1994),Comedy,134
2845,Calendar Girl (1993),Drama,14
1273,Carlito's Way (1993),Crime|Drama,263
1382,City Slickers II: The Legend of Curly's Gold (1994),Comedy|Western,282
2846,Clean Slate (1994),Comedy,29
72,Cliffhanger (1993),Action|Adventure|Crime,458
683,Coneheads (1993),Comedy|Sci-Fi,375
1972,Color of Night (1994),Drama|Thriller,95
2114,Cops and Robbersons (1994),Comedy,48
2251,"Cowboy Way, The (1994)",Action|Comedy,99
3679,Dangerous Game (1993),Drama,1
814,Dave (1993),Comedy|Romance,661
815,Dazed and Confused (1993),Comedy,440
107,Demolition Man (1993),Action|Sci-Fi,447
3205,"Endless Summer 2, The (1994)",Documentary,16
2889,Even Cowgirls Get the Blues (1993),Comedy|Romance,52
1392,Fatal Instinct (1993),Comedy,65
986,Farewell My Concubine (1993),Drama|Romance,177
1784,"Favor, The (1994)",Comedy|Romance,25
1979,Fearless (1993),Drama,160
1671,Fear of a Black Hat (1993),Comedy,49
1398,With Honors (1994),Comedy|Drama,156
2120,Flesh and Bone (1993),Drama|Mystery|Romance,78
3326,Widows' Peak (1994),Drama,29
1869,For Love or Money (1993),Comedy,48
465,"Firm, The (1993)",Drama|Thriller,577
1401,Free Willy (1993),Adventure|Children's|Drama,198
1985,Fresh (1994),Drama,59
151,"Fugitive, The (1993)",Action|Thriller,1393
2432,Geronimo: An American Legend (1993),Drama|Western,63
154,"Getaway, The (1994)",Action,101
2558,Getting Even with Dad (1994),Comedy,27
299,Go Fish (1994),Drama|Romance,61
3170,"Good Man in Africa, A (1994)",Action|Adventure,18
1410,Guilty as Sin (1993),Crime|Drama|Thriller,34
2175,Hard Target (1993),Action|Adventure|Crime|Thriller,140
473,Heaven & Earth (1993),Action|Drama|War,72
1088,Hot Shots! Part Deux (1993),Action|Comedy|War,392
1413,Live Nude Girls (1995),Comedy,40
1312,"Englishman Who Went Up a Hill, But Came Down a Mountain, The (1995)",Comedy|Romance,233
1791,"House of the Spirits, The (1993)",Drama|Romance,51
3061,House Party 3 (1994),Comedy,31
1423,"Hudsucker Proxy, The (1994)",Comedy|Romance,419
1424,I'll Do Anything (1994),Comedy|Drama,28
1223,In the Army Now (1994),Comedy|War,102
433,In the Line of Fire (1993),Action|Thriller,671
1096,In the Name of the Father (1993),Drama,209
485,"Inkwell, The (1994)",Comedy|Drama,25
2267,What's Love Got to Do with It? (1993),Drama,141
3094,Jimmy Hollywood (1994),Comedy,19
2654,Judgment Night (1993),Action,92
113,Jurassic Park (1993),Action|Adventure|Sci-Fi,1898
824,Kalifornia (1993),Drama|Thriller,193
1992,Killing Zoe (1994),Thriller,112
2774,King of the Hill (1993),Drama,48
3034,Lassie (1994),Adventure|Children's,15
1102,Last Action Hero (1993),Action|Comedy,343
1874,Life with Mikey (1993),Comedy,36
1432,Lightning Jack (1994),Comedy|Western,45
2823,M. Butterfly (1993),Drama,31
1796,Made in America (1993),Comedy,67
1689,Malice (1993),Thriller,134
1438,"Man Without a Face, The (1993)",Drama,143
1801,Manhattan Murder Mystery (1993),Comedy|Mystery,245
1107,Menace II Society (1993),Action|Crime|Drama,203
1482,Executive Decision (1996),Action|Thriller,288
2826,In the Realm of the Senses (Ai no corrida) (1976),Drama,31
1012,What Happened Was... (1994),Comedy|Drama|Romance,31
369,Much Ado About Nothing (1993),Comedy|Romance,470
161,Mr. Jones (1993),Drama|Romance,29
1441,Mr. Wonderful (1993),Comedy|Romance,36
900,Mrs. Doubtfire (1993),Comedy,589
234,Naked (1993),Drama,71
2199,"Next Karate Kid, The (1994)",Action|Children's,109
981,"New Age, The (1994)",Drama,9
2782,No Escape (1994),Action|Sci-Fi,129
2888,North (1994),Comedy,55
235,Orlando (1993),Drama,77
1668,"Perfect World, A (1993)",Action|Drama,200
439,Philadelphia (1993),Drama,398
238,"Piano, The (1993)",Drama|Romance,415
449,Poetic Justice (1993),Drama,25
1390,"Program, The (1993)",Action|Drama,110
2501,Robert A. Heinlein's The Puppet Masters (1994),Horror|Sci-Fi,132
1863,Radioland Murders (1994),Comedy|Mystery|Romance,45
1864,"Ref, The (1994)",Comedy,257
106,"Remains of the Day, The (1993)",Drama,323
1865,Renaissance Man (1994),Comedy|Drama|War,178
850,Rising Sun (1993),Action|Drama|Mystery,251
1391,"Road to Wellville, The (1994)",Comedy,93
1978,Robocop 3 (1993),Sci-Fi|Thriller,148
699,Robin Hood: Men in Tights (1993),Comedy,263
1279,Romeo Is Bleeding (1993),Crime|Thriller,81
1983,Romper Stomper (1992),Action|Drama,60
2630,Ruby in Paradise (1993),Drama,82
463,Rudy (1993),Drama,331
2819,"Saint of Fort Washington, The (1993)",Drama,18
3419,"Savage Nights (Nuits fauves, Les) (1992)",Drama,6
23,Schindler's List (1993),Drama|War,1618
1455,"Scout, The (1994)",Drama,52
525,Searching for Bobby Fischer (1993),Drama,488
3667,Second Best (1994),Drama,1
49,"Secret Garden, The (1993)",Children's|Drama,238
1087,Serial Mom (1994),Comedy|Crime|Horror,272
1870,"Shadow, The (1994)",Action,146
1871,Shadowlands (1993),Drama|Romance,196
2491,Short Cuts (1993),Drama,204
2213,"Simple Twist of Fate, A (1994)",Drama,39
2891,Sirens (1994),Comedy|Drama,150
475,Six Degrees of Separation (1993),Drama,206
729,Sleepless in Seattle (1993),Comedy|Romance,695
1421,Sliver (1993),Thriller,110
743,Blade Runner (1982),Film-Noir|Sci-Fi,1277
744,Son in Law (1993),Comedy,148
745,So I Married an Axe Murderer (1993),Comedy|Romance|Thriller,477
2435,Striking Distance (1993),Action,94
3265,Harlem (1993),Drama,0
1094,Super Mario Bros. (1993),Action|Adventure|Children's|Sci-Fi,232
2784,Surviving the Game (1994),Action|Adventure|Thriller,83
2502,Terminal Velocity (1994),Action,92
2514,Thirty-Two Short Films About Glenn Gould (1993),Documentary,110
1429,Threesome (1994),Comedy|Romance,122
331,"Nightmare Before Christmas, The (1993)",Children's|Comedy|Musical,701
193,"Three Musketeers, The (1993)",Action|Adventure|Comedy,378
916,Tombstone (1993),Western,382
3262,Trial by Jury (1994),Thriller,15
495,True Romance (1993),Action|Crime|Romance,457
1287,"War Room, The (1993)",Documentary,93
3564,Mamma Roma (1962),Drama,0
2203,"Pagemaster, The (1994)",Action|Adventure|Animation|Children's|Fantasy,93
3369,"Paris, France (1993)",Comedy,4
3566,"Beans of Egypt, Maine, The (1994)",Drama,2
1997,Killer (Bulletproof Heart) (1994),Thriller,9
365,Welcome to the Dollhouse (1995),Comedy|Drama,338
3395,Germinal (1993),Drama,12
2620,Chasers (1994),Comedy,35
1589,Cronos (1992),Horror,47
1802,Naked in New York (1994),Comedy|Romance,7
3421,Kika (1993),Drama,8
2228,Bhaji on the Beach (1993),Comedy|Drama,25
427,Little Big League (1994),Children's|Comedy,67
2898,"Slingshot, The (Kådisbellan ) (1993)",Comedy|Drama,14
1892,"Wedding Gift, The (1994)",Drama,25
3638,Foreign Student (1994),Drama,0
2748,"Ciao, Professore! (Io speriamo che me la cavo ) (1993)",Drama,17
2470,Spanking the Monkey (1994),Comedy|Drama,119
1822,"Little Rascals, The (1994)",Children's|Comedy,77
3227,Fausto (1993),Comedy,1
2181,Andre (1994),Adventure|Children's,35
